name,lat,lon,population
Dalton,34.769,-84.972,68614
Dubuque,42.5002,-90.707,68601
Eastvale,33.9617,-117.5803,68539
Tulare,36.1995,-119.34,68395
Maricopa,33.0408,-112.0011,68376
Rogers,36.317,-94.1531,68340
Yorba Linda,33.889,-117.7714,68319
Eagan,44.817,-93.1638,68205
Weston,26.1006,-80.4054,68148
Hanford,36.3274,-119.6549,68122
Bristol,36.5572,-82.2154,68083
Watsonville,36.9206,-121.7708,68020
Union City,40.7675,-74.0323,67903
Palatine,42.118,-88.043,67754
West Des Moines,41.5521,-93.7806,67640
Lynwood,33.924,-118.2016,67497
San Marcos,29.8734,-97.9356,67491
Skokie,42.036,-87.74,67444
Great Falls,47.5022,-111.2996,67300
Longview,46.1461,-122.963,67203
Corvallis,44.5698,-123.2779,67187
Rockville,39.0834,-77.1553,67095
Haverhill,42.7838,-71.0871,67093
Shawnee,39.0158,-94.8076,67021
Mount Vernon,48.4203,-122.3115,66896
Casper,42.842,-106.3208,66876
Schenectady,42.8025,-73.9275,66809
Ames,42.0256,-93.6217,66729
South Hill,47.1198,-122.2853,66713
Sammamish,47.6017,-122.0416,66532
Georgetown,30.666,-97.6966,66514
Delray Beach,26.455,-80.0905,66434
Dundalk,39.2704,-76.4942,66426
Kenner,30.0109,-90.2549,66411
Ankeny,41.7288,-93.6031,66346
South San Francisco,37.6538,-122.4196,66331
Castro Valley,37.7088,-122.0626,66324
Bethesda,38.9866,-77.1188,66294
Morristown,36.2043,-83.3001,66220
Juana Díaz,18.0532,-66.5044,66208
Kankakee,41.102,-87.8643,66065
Brentwood,40.7839,-73.2522,66035
Fajardo,18.3331,-65.6589,66022
Bay City,43.5902,-83.8887,65704
Victoria,28.8287,-96.9849,65656
Malden,42.4305,-71.0576,65602
Parkersburg,39.2623,-81.542,65524
Novi,42.4786,-83.4893,65369
Bozeman,45.6833,-111.0558,65279
Alpharetta,34.0704,-84.2738,65187
Wesley Chapel,28.2106,-82.3238,65134
Waltham,42.3889,-71.2423,64655
Laguna Niguel,33.5275,-117.705,64608
San Clemente,33.4499,-117.6102,64600
North Little Rock,34.7807,-92.2371,64444
Florence-Graham,33.9682,-118.2447,64109
Eden Prairie,44.8488,-93.4595,64048
Pflugerville,30.4515,-97.6018,64007
Burnsville,44.7648,-93.2793,63926
Brentwood,37.9356,-121.719,63618
Millcreek,40.6892,-111.8292,63430
La Habra,33.9282,-117.9515,63287
Coon Rapids,45.1755,-93.3094,63269
Bossier City,32.5224,-93.6668,63168
Hamilton,39.3939,-84.5653,63127
Taylor,42.226,-83.2688,63071
Lakewood,47.1628,-122.5299,62972
Greenwood,39.6019,-86.1073,62914
Bellevue,41.1485,-95.939,62888
Montebello,34.0155,-118.1108,62828
Moore,35.3293,-97.4757,62633
Council Bluffs,41.2369,-95.8516,62617
Rowlett,32.9155,-96.5489,62606
Spring,30.0613,-95.383,62569
Port Charlotte,26.9918,-82.114,62531
Reston,38.9497,-77.3461,62453
Pico Rivera,33.9901,-118.0888,62383
Dearborn Heights,42.3164,-83.2769,62334
Port Orange,29.1085,-81.0137,62197
Encinitas,33.0492,-117.261,62140
Springfield,44.0538,-122.9811,62138
Commerce City,39.8641,-104.843,61516
Pontiac,42.6493,-83.2878,61498
The Hammocks,25.67,-80.4482,61461
Wellington,26.6461,-80.2699,61445
San Rafael,37.9905,-122.5221,61158
Monterey Park,34.0497,-118.1326,61153
La Mesa,32.7703,-117.0204,61040
Woodland,38.6712,-121.75,60977
Marietta,33.9533,-84.5422,60962
Chapel Hill,35.9271,-79.0391,60920
Gardena,33.8943,-118.3072,60917
Meriden,41.5369,-72.7946,60790
Bristol,41.6812,-72.9407,60733
Revere,42.4189,-71.004,60720
Medford,42.4234,-71.1087,60708
Palm Harbor,28.0847,-82.7481,60682
Cupertino,37.3168,-122.0466,60681
Jupiter,26.92,-80.1128,60629
Hendersonville,36.3063,-86.5997,60628
North Miami,25.9008,-80.1686,60449
Des Plaines,42.0345,-87.9008,60413
Taylorsville,40.6569,-111.9493,60295
West Allis,43.0068,-88.0296,60220
Sanford,28.7891,-81.2757,60215
Huntersville,35.406,-80.8716,60166
Euless,32.8508,-97.08,60134
Petaluma,38.2423,-122.6266,60050
Richland,46.2824,-119.2939,59718
Santee,32.8554,-116.9851,59679
White Plains,41.022,-73.7547,59452
Hoboken,40.7452,-74.0281,59369
Kokomo,40.464,-86.1277,59263
Taunton,41.9036,-71.0943,59076
St. Clair Shores,42.4925,-82.8961,59046
Towson,39.3944,-76.619,59014
Caldwell,43.6453,-116.6594,58872
South Whittier,33.9336,-118.0312,58800
Orland Park,41.6075,-87.8619,58622
Stonecrest,33.6842,-84.1372,58602
Palm Beach Gardens,26.8466,-80.1679,58482
Royal Oak,42.5084,-83.1539,58368
Margate,26.2466,-80.2119,58331
Blue Springs,39.0124,-94.2721,58265
Shoreline,47.7564,-122.3426,58213
Midwest City,35.463,-97.371,58146
Bowie,38.9549,-76.7406,58113
Apex,35.7237,-78.8743,58066
Oak Lawn,41.7139,-87.7528,58032
Carson City,39.1511,-119.7476,57957
Fountainebleau,25.7723,-80.346,57957
Queen Creek,33.2454,-111.6173,57728
Leander,30.5728,-97.8618,57696
Bartlett,35.2337,-89.8195,57639
St. Cloud,28.2363,-81.2779,57610
Coconut Creek,26.2803,-80.1842,57553
Kettering,39.6956,-84.1494,57503
Parker,39.5084,-104.7753,57311
Decatur,34.5731,-86.9905,57303
St. Peters,38.7825,-90.6061,57289
Fountain Valley,33.7105,-117.9514,57139
Berwyn,41.8433,-87.7909,56960
Bel Air South,39.5022,-76.3113,56928
National City,32.6654,-117.0983,56846
Lenexa,38.9609,-94.8018,56755
Highland,34.1113,-117.165,56733
Arcadia,34.1342,-118.0373,56697
Mount Prospect,42.0641,-87.9375,56510
Lake Havasu City,34.5006,-114.3113,56510
Tinley Park,41.567,-87.8049,55988
Albany,44.6272,-123.0965,55776
DeSoto,32.5992,-96.8633,55761
New Brunswick,40.487,-74.445,55671
Chicopee,42.1764,-72.5719,55636
Madison,34.7114,-86.7626,55551
West Haven,41.2739,-72.9672,55518
Smyrna,33.8633,-84.5168,55460
Huntington Park,33.98,-118.2167,55439
Wylie,33.0362,-96.5161,55426
Diamond Bar,33.9992,-117.8161,55339
Apple Valley,44.7457,-93.2004,55237
Perth Amboy,40.5202,-74.2724,55046
Bradenton,27.4901,-82.5757,54918
Brookhaven,33.8743,-84.3314,54902
Hacienda Heights,33.997,-117.9727,54841
Manhattan,39.1886,-96.6048,54794
Tigard,45.4237,-122.7845,54750
Tamiami,25.7556,-80.4016,54525
Rocky Mount,35.9685,-77.804,54375
Yucaipa,34.0336,-117.0429,54312
Westchester,25.7471,-80.3523,54238
Peabody,42.5335,-70.9725,54200
Plainfield,40.6154,-74.4157,54183
Southaven,34.9514,-89.9786,54141
Apopka,28.7015,-81.5316,54110
Oak Park,41.8872,-87.7899,54100
Horizon West,28.4417,-81.6146,54038
Severn,39.1355,-76.6956,53955
Paramount,33.8977,-118.1651,53904
Colton,34.0538,-117.3255,53894
Kentwood,42.8852,-85.5926,53884
Aspen Hill,39.0927,-77.0826,53850
Minnetonka,44.9322,-93.4598,53809
Sarasota,27.3387,-82.5432,53786
Wheaton,41.8561,-88.1085,53762
West Sacramento,38.5557,-121.5505,53589
Casa Grande,32.9069,-111.7624,53488
Normal,40.5217,-88.9884,53446
Kendale Lakes,25.7081,-80.4078,53392
San Jacinto,33.797,-116.9916,53299
Novato,38.092,-122.5575,53214
Pinellas Park,27.8589,-82.7078,53130
Edina,44.8914,-93.3602,53059
Herriman,40.4899,-112.017,52860
Elyria,41.376,-82.106,52853
Grand Island,40.9218,-98.3586,52755
Aloha,45.492,-122.8725,52704
Lacey,47.0462,-122.7933,52572
Bentonville,36.3547,-94.2305,52565
Levittown,40.7241,-73.5125,52540
Methuen Town,42.734,-71.1889,52536
West New York,40.7857,-74.0094,52485
Glendora,34.1449,-117.8467,52458
Smyrna,35.9687,-86.5264,52401
Florissant,38.7996,-90.3269,52382
Delano,35.7662,-119.2635,52206
Kannapolis,35.4764,-80.6408,52173
Hoffman Estates,42.064,-88.1468,52153
Texas City,29.4154,-94.9682,52097
Beaumont,33.9076,-116.9766,52081
Placentia,33.8807,-117.8553,51951
Aliso Viejo,33.5792,-117.7289,51943
Wheaton,39.0492,-77.0573,51836
Cathedral City,33.8362,-116.4642,51836
Rosemead,34.0689,-118.0823,51698
Burien,47.4762,-122.3394,51646
Florin,38.4832,-121.4043,51568
Twin Falls,42.5645,-114.4613,51223
Enid,36.4063,-97.87,51129
Country Club,25.9407,-80.3102,51105
Dunwoody,33.9418,-84.3122,51103
Levittown,40.1533,-74.8531,51100
Palm Desert,33.7378,-116.3695,51081
Covina,34.0903,-117.8818,51061
Cuyahoga Falls,41.1641,-81.5207,50906
Lakewood,41.4822,-81.8008,50841
Marana,32.4355,-111.1558,50834
Mishawaka,41.6742,-86.1666,50823
Columbus,39.2093,-85.9183,50718
Troy,42.7354,-73.6751,50717
North Bethesda,39.0393,-77.1191,50695
Milford city ,41.2255,-73.0625,50694
Collierville,35.047,-89.6987,50669
Grapevine,32.9343,-97.0742,50548
Summerville,33.0016,-80.1799,50318
Cypress,33.8171,-118.0386,50279
Downers Grove,41.7949,-88.0172,50209
Murray,40.6498,-111.8874,50183
Catalina Foothills,32.3046,-110.8838,50096
East Honolulu,21.2975,-157.7211,50076
Draper,40.4957,-111.8605,49978
Chesterfield,38.6589,-90.5803,49675
Cerritos,33.8678,-118.0686,49630
Bedford,32.8464,-97.135,49576
St. Louis Park,44.9488,-93.3649,49539
Azusa,34.1386,-117.9124,49457
Euclid,41.5903,-81.5188,49382
McLean,38.9436,-77.1943,49310
Coral Gables,25.7037,-80.2715,49269
Lincoln,38.8774,-121.2937,49203
Jeffersonville,38.3376,-85.7026,49178
Ceres,37.5952,-120.962,49132
Biloxi,30.4426,-88.9514,49061
Lawrence,39.8674,-85.9904,49048
Poway,32.9871,-117.0201,49005
Cedar Hill,32.581,-96.9591,48968
Portage,42.2,-85.5906,48767
Rowland Heights,33.9716,-117.8912,48765
Niagara Falls,43.0921,-79.0147,48763
Dublin,40.1112,-83.1454,48613
El Dorado Hills,38.675,-121.049,48612
Mooresville,35.5847,-80.8266,48431
North Highlands,38.6713,-121.3721,48424
Antelope,38.7153,-121.361,48421
Everett,42.4064,-71.0545,48368
University,28.0771,-82.4335,48367
Roswell,33.373,-104.5294,48347
Leesburg,39.1057,-77.5544,48223
Rancho Santa Margarita,33.6318,-117.5988,48190
Tuckahoe,37.5878,-77.5858,48187
Titusville,28.5727,-80.8193,48158
Glenview,42.0825,-87.8214,48150
Wauwatosa,43.0616,-88.0347,48072
Stillwater,36.1317,-97.0742,48055
Minot,48.2375,-101.278,48005
La Mirada,33.9025,-118.0093,47957
Wilson,35.7311,-77.9284,47914
Newark,37.5201,-122.0307,47815
Roseville,42.5074,-82.9369,47692
East Lansing,42.748,-84.4836,47427
Mentor,41.6893,-81.3362,47369
Bothell,47.7735,-122.2044,47355
San Luis Obispo,35.2669,-120.669,47257
Burleson,32.517,-97.3344,47230
East Providence,41.8065,-71.3565,47171
Middletown,41.5476,-72.6549,47164
Brea,33.9254,-117.8655,46912
Salina,38.8136,-97.6143,46896
Potomac,39.0141,-77.1943,46891
Farmington,36.7555,-108.1823,46696
Sicklerville,39.7452,-74.9934,46626
Ocoee,28.5796,-81.5332,46562
