name,lat,lon,population
Rockford,42.2596,-89.064,273237
Reading,40.34,-75.9267,272712
Chandler,33.2825,-111.8514,272439
Eugene,44.0564,-123.1174,270990
Wilmington,34.2099,-77.8866,268625
Santa Clarita,34.4175,-118.4964,268273
Salem,44.9233,-123.0244,266420
Killeen,31.0753,-97.7297,265921
Round Lake Beach,42.3791,-88.0811,264451
Columbus,32.51,-84.8771,264282
Gilbert,33.31,-111.7463,262249
Kennewick,46.1978,-119.1732,259995
North Las Vegas,36.2883,-115.0888,259638
Tallahassee,30.4551,-84.2527,258696
St. Petersburg,27.7931,-82.6652,258245
Laredo,27.5625,-99.4874,254697
Irving,32.8583,-96.9702,254184
Peoria,40.752,-89.6154,253467
Montgomery,32.3482,-86.2668,251158
York,39.9651,-76.7315,247176
Chesapeake,36.6778,-76.3023,247172
Glendale,33.5791,-112.2311,245685
Nashua,42.7491,-71.491,245209
Garland,32.91,-96.6304,245075
Scottsdale,33.6872,-111.8651,238685
Norfolk,36.8945,-76.259,238556
Lafayette,30.2082,-92.0325,237565
Arlington,38.8786,-77.1011,235764
Appleton,44.278,-88.3892,233947
Fremont,37.5265,-121.9843,231502
Aguadilla,18.4382,-67.1537,228854
Rock Hill,34.9415,-81.0241,228811
Fargo,46.8651,-96.8292,228364
Gulfport,30.4274,-89.0704,228022
Bremerton,47.5436,-122.7121,226805
Green Bay,44.5148,-87.9895,225633
Hialeah,25.8696,-80.3045,224362
Deltona,28.905,-81.2137,221137
Gainesville,29.6804,-82.3459,220929
San Bernardino,34.1416,-117.2943,220821
Enterprise,36.0091,-115.2278,219566
Roanoke,37.2785,-79.9581,218533
Spring Valley,36.0952,-115.2636,217441
Tacoma,47.2431,-122.4531,217332
Brownsville,25.9975,-97.458,215269
College Station,30.5852,-96.2959,213177
Olympia,47.0417,-122.8959,210877
Clarksville,36.5692,-87.3413,210551
Yonkers,40.9466,-73.8673,209730
Thousand Oaks,34.1914,-118.8756,209570
Portland,43.6773,-70.2715,209491
Moreno Valley,33.9244,-117.2045,208371
Fontana,34.0968,-117.4599,208087
Hickory,35.741,-81.3223,206008
Amarillo,35.1984,-101.8316,205903
Sioux Falls,43.5396,-96.7311,204484
Evansville,37.9881,-87.5341,203661
Huntington,38.4109,-82.4345,202754
Waterbury,41.5582,-73.0361,202422
Lorain,41.4409,-82.184,201808
Kalamazoo,42.2749,-85.5882,200838
Galveston,29.2484,-94.8913,200451
Spartanburg,34.9442,-81.9251,200000
Santa Barbara,34.4285,-119.7202,199023
Huntington Beach,33.696,-118.0018,198735
Glendale,34.1819,-118.2468,196512
Sunrise Manor,36.1783,-115.0487,196411
Grand Prairie,32.6871,-97.0208,195992
Waco,31.5599,-97.1882,195709
Hagerstown,39.6401,-77.7217,195261
Overland Park,38.887,-94.687,195249
Nampa,43.5844,-116.5638,193935
Frisco,33.156,-96.8216,193140
Cedar Rapids,41.9662,-91.6783,191104
Paradise,36.0872,-115.1355,189852
McKinney,33.2016,-96.667,189394
Vancouver,45.6366,-122.5967,188331
Peoria,33.7843,-112.2989,187733
Ocala,29.178,-82.1511,186840
Erie,42.1167,-80.0733,185556
Newport News,37.1051,-76.5185,185069
Frederick,39.4337,-77.4141,184991
Murfreesboro,35.849,-86.4121,184763
Aurora,41.7638,-88.2902,183447
Fort Lauderdale,26.1412,-80.1464,182247
Danbury,41.4015,-73.4709,180143
Tempe,33.3881,-111.9319,178862
Spring Hill,28.4798,-82.53,178833
Gastonia,35.2494,-81.1854,178220
Salinas,36.6883,-121.6317,177410
Fredericksburg,38.2992,-77.4872,176791
Gainesville,34.2902,-83.8294,175569
Elk Grove,38.4161,-121.3842,175510
Ontario,34.0393,-117.6064,175223
Oceanside,33.2247,-117.3083,174461
Rancho Cucamonga,34.1247,-117.5667,173946
Garden Grove,33.7787,-117.9601,172708
Lancaster,34.6935,-118.1753,171820
Cary,35.7819,-78.8195,171603
Hemet,33.7341,-116.9969,170621
Pembroke Pines,26.0128,-80.3382,170346
Bayamón,18.3794,-66.1635,170028
Panama City,30.1995,-85.6003,169810
Vallejo,38.1125,-122.2342,169541
Manchester,42.9848,-71.4447,169097
Medford,42.3372,-122.854,168959
Mauldin,34.7821,-82.3032,168313
Palmdale,34.5944,-118.1057,167987
Santa Cruz,36.9789,-122.0346,167835
Norwich,41.5495,-72.0882,166885
Muskegon,43.2281,-86.2562,166847
Leesburg,28.7672,-81.8962,166200
High Point,35.991,-79.9937,164836
Tuscaloosa,33.2348,-87.5268,164414
Visalia,36.3276,-119.3269,163681
Marysville,48.0809,-122.1561,162664
Hayward,37.6328,-122.0766,162254
Merced,37.3057,-120.4779,160638
Lafayette,40.3991,-86.8593,160543
Springfield,39.7709,-89.654,159671
Alexandria,38.8185,-77.0861,158185
Paterson,40.9147,-74.1624,157927
Corona,33.8616,-117.5649,157844
Macon,32.8065,-83.6974,156711
Binghamton,42.1014,-75.9093,156375
Kansas City,39.1235,-94.7443,155745
Lakewood,39.6977,-105.1172,155608
Sunnyvale,37.3836,-122.0255,155550
Odessa,31.8801,-102.3448,155039
New Bedford,41.6697,-70.9428,153701
Hollywood,26.0293,-80.1679,152597
South Lyon,42.4614,-83.6526,152132
Pasadena,29.6575,-95.1498,151964
Pomona,34.0585,-117.7626,151592
Escondido,33.1348,-117.0723,151443
Lake Charles,30.201,-93.2111,151109
Joliet,41.5188,-88.1499,150323
Champaign,40.1142,-88.2737,150179
Mesquite,32.7602,-96.5865,149848
Fairfield,38.2583,-122.0335,149635
Elkhart,41.6916,-85.9627,149423
Bellevue,47.5951,-122.1535,149365
Naperville,41.748,-88.1659,149013
