,name,lat,lon,population,state
0,Adak,51.88,-176.65806,160,Alaska
1,Akhiok,56.94556,-154.17028,66,Alaska
2,Akiachak,60.90944,-161.43139,469,Alaska
3,Akiak,60.91222,-161.21389,461,Alaska
4,Akutan,54.13556,-165.77306,1584,Alaska
5,Alakanuk,62.68889,-164.61528,758,Alaska
6,Alatna,66.56379,-152.8385,41,Alaska
7,Alcan Border,62.70308,-141.19358,170,Alaska
8,Aleknagik,59.27306,-158.61778,206,Alaska
9,Aleneva,58.06,-152.90972,0,Alaska
10,Allakaket,66.56556,-152.64556,178,Alaska
11,Ambler,67.08611,-157.85139,265,Alaska
12,Anaktuvuk Pass,68.14333,-151.73583,427,Alaska
13,Anchorage,61.21806,-149.90028,288702,Alaska
14,Anchor Point,59.77667,-151.83139,2288,Alaska
15,Anderson,64.34417,-149.18694,174,Alaska
16,Angoon,57.50333,-134.58389,347,Alaska
17,Aniak,61.57833,-159.52222,508,Alaska
18,Anvik,62.65611,-160.20667,73,Alaska
19,Arctic Village,68.12694,-145.53778,225,Alaska
20,Atka,52.19611,-174.20056,52,Alaska
21,Atmautluak,60.86694,-162.27306,147,Alaska
22,Atqasuk,70.46917,-157.39944,273,Alaska
23,Attu Station,52.88025,173.25608,19,Alaska
24,Badger,64.8,-147.53333,19226,Alaska
25,Bear Creek,60.16417,-149.395,1524,Alaska
26,Beaver,66.38475,-147.28776,93,Alaska
27,Beluga,61.19086,-151.18424,3,Alaska
28,Bethel,60.79222,-161.75583,6349,Alaska
29,Bettles,66.91889,-151.51611,23,Alaska
30,Big Delta,64.1525,-145.84222,521,Alaska
31,Big Lake,61.54499,-149.81796,2888,Alaska
32,Birch Creek,66.25904,-145.81902,3,Alaska
33,Brevig Mission,65.33472,-166.48917,421,Alaska
34,Buckland,65.97972,-161.12306,529,Alaska
35,Buffalo Soapstone,61.68444,-149.12117,949,Alaska
36,Butte,61.54222,-149.03333,3857,Alaska
37,Cantwell,63.39167,-148.95083,136,Alaska
38,Central,65.5725,-144.80306,51,Alaska
39,Chalkyitsik,66.65444,-143.72222,110,Alaska
40,Chase,62.44917,-150.10167,0,Alaska
41,Chefornak,60.16,-164.26583,504,Alaska
42,Chena Ridge,64.7943,-148.03288,5643,Alaska
43,Chenega,60.06333,-148.01139,55,Alaska
44,Chevak,61.52778,-165.58639,953,Alaska
45,Chickaloon,61.79667,-148.46278,188,Alaska
46,Chicken,64.07333,-141.93611,12,Alaska
47,Chignik,56.29528,-158.40222,91,Alaska
48,Chignik Lagoon,56.30844,-158.53024,31,Alaska
49,Chignik Lake,56.25556,-158.7625,40,Alaska
50,Chiniak,57.63194,-152.1825,0,Alaska
51,Chisana,62.06611,-142.04083,0,Alaska
52,Chistochina,62.57178,-144.65417,42,Alaska
53,Chitina,61.51583,-144.43694,81,Alaska
54,Chuathbaluk,61.57194,-159.245,102,Alaska
55,Circle,65.82556,-144.06056,29,Alaska
56,Clam Gulch,60.23111,-151.39361,230,Alaska
57,Clark's Point,58.83299,-158.52735,65,Alaska
58,Coffman Cove,56.01389,-132.82778,126,Alaska
59,Cohoe,60.36861,-151.30639,1557,Alaska
60,Cold Bay,55.18583,-162.72111,52,Alaska
61,Coldfoot,67.25639,-150.18417,223,Alaska
62,College,64.85694,-147.80278,11797,Alaska
63,Cooper Landing,60.49,-149.83417,217,Alaska
64,Copper Center,61.97696,-145.32973,345,Alaska
65,Cordova,60.54278,-145.7575,2537,Alaska
66,Covenant Life,59.41722,-136.025,9,Alaska
67,Craig,55.47639,-133.14833,1038,Alaska
68,Crooked Creek,61.87,-158.11083,65,Alaska
69,Crown Point,60.42222,-149.36667,63,Alaska
70,Deering,66.07485,-162.72185,175,Alaska
71,Delta Junction,64.03778,-145.73222,941,Alaska
72,Deltana,63.78934,-145.35163,2022,Alaska
73,Denali Park,63.73278,-148.91417,855,Alaska
74,Diamond Ridge,59.67611,-151.5575,1409,Alaska
75,Dillingham,59.03972,-158.4575,2210,Alaska
76,Diomede,65.76856,-168.91054,82,Alaska
77,Dot Lake,63.66139,-144.06444,0,Alaska
78,Dot Lake Village,63.65083,-144.04389,11,Alaska
79,Dry Creek,63.65333,-144.66528,232,Alaska
80,Eagle,64.78806,-141.2,83,Alaska
81,Eagle Village,64.78056,-141.11361,33,Alaska
82,Eareckson Station,52.72106,174.10715,202,Alaska
83,Edna Bay,55.94889,-133.66222,25,Alaska
84,Eek,60.21889,-162.02444,399,Alaska
85,Egegik,58.21556,-157.37583,37,Alaska
86,Eielson AFB,64.6733,-147.05946,3240,Alaska
87,Ekwok,59.34972,-157.47528,106,Alaska
88,Elfin Cove,58.19444,-136.34333,19,Alaska
89,Elim,64.6175,-162.26056,366,Alaska
90,Emmonak,62.77778,-164.52306,830,Alaska
91,Ester,64.84722,-148.01444,2719,Alaska
92,Eureka Roadhouse,61.93861,-147.16806,0,Alaska
93,Evansville,66.92278,-151.50806,17,Alaska
94,Excursion Inlet,58.42139,-135.43667,35,Alaska
95,Fairbanks,64.83778,-147.71639,32174,Alaska
96,False Pass,54.85083,-163.415,397,Alaska
97,Farmers Loop,64.90823,-147.69861,4216,Alaska
98,Farm Loop,61.63512,-149.15522,2549,Alaska
99,Ferry,64.04962,-148.9206,24,Alaska
100,Fishhook,61.73125,-149.28364,5055,Alaska
101,Flat,62.45361,-158.0075,0,Alaska
102,Fort Greely,63.96783,-145.71488,150,Alaska
103,Fort Yukon,66.56472,-145.27389,422,Alaska
104,Four Mile Road,64.60448,-149.11519,4,Alaska
105,Fox,64.95806,-147.61833,169,Alaska
106,Fox River,59.85833,-150.95833,580,Alaska
107,Fritz Creek,59.73611,-151.29528,2145,Alaska
108,Funny River,60.50194,-150.76222,1005,Alaska
109,Gakona,62.30194,-145.30194,140,Alaska
110,Galena,64.73333,-156.9275,467,Alaska
111,Gambell,63.77972,-171.74111,632,Alaska
112,Game Creek,58.05667,-135.50778,0,Alaska
113,Gateway,61.57278,-149.24083,6305,Alaska
114,Glacier View,61.84804,-147.77259,250,Alaska
115,Glennallen,62.10917,-145.54639,438,Alaska
116,Goldstream,64.94215,-148.02732,2822,Alaska
117,Golovin,64.54333,-163.02917,171,Alaska
118,Goodnews Bay,59.11889,-161.5875,259,Alaska
119,Grayling,62.90361,-160.06472,207,Alaska
120,Gulkana,62.27139,-145.38222,67,Alaska
121,Gustavus,58.41333,-135.73694,636,Alaska
122,Haines,59.22859,-135.44411,1571,Alaska
123,Halibut Cove,59.595,-151.225,205,Alaska
124,Happy Valley,59.94722,-151.73222,700,Alaska
125,Harding-Birch Lakes,64.3813,-146.5306,265,Alaska
126,Healy,63.85694,-148.96611,911,Alaska
127,Healy Lake,63.98723,-144.69983,23,Alaska
128,Hobart Bay,57.46583,-133.35333,0,Alaska
129,Hollis,55.55667,-132.63639,201,Alaska
130,Holy Cross,62.19944,-159.77139,175,Alaska
131,Homer,59.6425,-151.54833,5714,Alaska
132,Hoonah,58.11,-135.44361,971,Alaska
133,Hooper Bay,61.53111,-166.09667,1375,Alaska
134,Hope,60.92028,-149.64028,105,Alaska
135,Houston,61.63028,-149.81806,2063,Alaska
136,Hughes,66.04889,-154.25556,85,Alaska
137,Huslia,65.69861,-156.39972,302,Alaska
138,Hydaburg,55.20806,-132.82667,379,Alaska
139,Hyder,55.91694,-130.02472,13,Alaska
140,Igiugig,59.32778,-155.89472,60,Alaska
141,Iliamna,59.7568,-154.91108,35,Alaska
142,Ivanof Bay,55.9,-159.48333,0,Alaska
143,Juneau,58.30194,-134.41972,31965,Alaska
144,Kachemak,59.66742,-151.45074,581,Alaska
145,Kake,56.97583,-133.94722,541,Alaska
146,Kaktovik,70.13194,-143.62389,285,Alaska
147,Kalifornsky,60.41833,-151.29,8428,Alaska
148,Kaltag,64.32722,-158.72194,159,Alaska
149,Karluk,57.57194,-154.45556,21,Alaska
150,Kasaan,55.53889,-132.40083,29,Alaska
151,Kasigluk,60.89556,-162.51806,448,Alaska
152,Kasilof,60.3375,-151.27444,459,Alaska
153,Kenai,60.55444,-151.25833,7533,Alaska
154,Kenny Lake,61.71917,-144.94833,138,Alaska
155,Ketchikan,55.34222,-131.64611,8107,Alaska
156,Kiana,66.975,-160.42278,437,Alaska
157,King Cove,55.06167,-162.31028,759,Alaska
158,King Salmon,58.68833,-156.66139,399,Alaska
159,Kipnuk,59.93889,-164.04139,467,Alaska
160,Kivalina,67.72694,-164.53333,428,Alaska
161,Klawock,55.55222,-133.09583,715,Alaska
162,Klukwan,59.40389,-135.88444,71,Alaska
163,Knik-Fairview,61.50765,-149.6226,18282,Alaska
164,Knik River,61.4619,-149.00749,799,Alaska
165,Kobuk,66.90722,-156.88111,177,Alaska
166,Kodiak,57.79,-152.40722,5484,Alaska
167,Kodiak Station,57.76795,-152.59591,2183,Alaska
