,name,lat,lon,population,state
168,Kokhanok,59.44194,-154.75583,109,Alaska
169,Koliganek,59.72861,-157.28444,238,Alaska
170,Kongiganak,59.95327,-162.89513,470,Alaska
171,Kotlik,63.03417,-163.55333,659,Alaska
172,Kotzebue,66.89833,-162.59667,3028,Alaska
173,Koyuk,64.93194,-161.15694,305,Alaska
174,Koyukuk,64.88028,-157.70083,97,Alaska
175,Kupreanof,56.81444,-132.98056,20,Alaska
176,Kwethluk,60.81222,-161.43583,801,Alaska
177,Kwigillingok,59.86444,-163.13417,470,Alaska
178,Lake Louise,62.28139,-146.55111,0,Alaska
179,Lake Minchumina,63.88278,-152.31222,15,Alaska
180,Larsen Bay,57.54,-153.97861,33,Alaska
181,Lazy Mountain,61.62611,-148.94556,1766,Alaska
182,Levelock,59.11417,-156.85889,34,Alaska
183,Lime Village,61.35639,-155.43556,16,Alaska
184,Livengood,65.52444,-148.54472,9,Alaska
185,Loring,55.6025,-131.63611,0,Alaska
186,Lowell Point,60.0725,-149.44111,83,Alaska
187,Lower Kalskag,61.51222,-160.35806,277,Alaska
188,Lutak,59.34111,-135.56556,202,Alaska
189,Manley Hot Springs,65.00111,-150.63389,35,Alaska
190,Manokotak,58.98139,-159.05833,477,Alaska
191,Marshall,61.87778,-162.08111,494,Alaska
192,McCarthy,61.43333,-142.92167,0,Alaska
193,McGrath,62.95639,-155.59583,294,Alaska
194,Meadow Lakes,61.62472,-149.60111,8367,Alaska
195,Mekoryuk,60.38806,-166.185,206,Alaska
196,Mendeltna,62.06611,-146.45,118,Alaska
197,Mentasta Lake,62.92111,-143.76917,181,Alaska
198,Mertarvik,60.81099,-164.49911,0,Alaska
199,Metlakatla,55.12917,-131.57222,1445,Alaska
200,Mill Bay,57.8169,-152.35426,3719,Alaska
201,Minto,65.15041,-149.34971,151,Alaska
202,Moose Creek,64.71,-147.14361,547,Alaska
203,Moose Pass,60.4875,-149.36889,267,Alaska
204,Mosquito Lake,59.52917,-136.09111,226,Alaska
205,Mountain Village,62.08556,-163.72944,622,Alaska
206,Mud Bay,59.15972,-135.37583,53,Alaska
207,Nabesna,62.37194,-143.00861,0,Alaska
208,Naknek,58.72833,-157.01389,394,Alaska
209,Nanwalek,59.35639,-151.92083,196,Alaska
210,Napakiak,60.69667,-161.95194,354,Alaska
211,Napaskiak,60.70806,-161.76611,506,Alaska
212,Naukati Bay,55.87361,-133.18472,110,Alaska
213,Nelchina,61.99194,-146.76861,198,Alaska
214,Nelson Lagoon,56.00062,-161.20697,98,Alaska
215,Nenana,64.56389,-149.09306,353,Alaska
216,Newhalen,59.72,-154.89722,161,Alaska
217,New Stuyahok,59.45278,-157.31194,506,Alaska
218,Newtok,60.94278,-164.62944,181,Alaska
219,Nightmute,60.47944,-164.72389,303,Alaska
220,Nikiski,60.69028,-151.28889,4232,Alaska
221,Nikolaevsk,59.81194,-151.61056,198,Alaska
222,Nikolai,63.01333,-154.375,88,Alaska
223,Nikolski,52.93806,-168.86778,17,Alaska
224,Ninilchik,60.05139,-151.66889,964,Alaska
225,Noatak,67.57111,-162.96528,488,Alaska
226,Nome,64.50111,-165.40639,3665,Alaska
227,Nondalton,59.97361,-154.84583,127,Alaska
228,Noorvik,66.83833,-161.03278,669,Alaska
229,North Lakes,61.61838,-149.31072,9941,Alaska
230,North Pole,64.75111,-147.34944,2298,Alaska
231,Northway,62.96167,-141.93722,304,Alaska
232,Nuiqsut,70.2175,-150.97639,510,Alaska
233,Nulato,64.71944,-158.10306,233,Alaska
234,Nunam Iqua,62.53361,-164.84111,219,Alaska
235,Nunapitchuk,60.89694,-162.45944,594,Alaska
236,Old Harbor,57.20278,-153.30389,213,Alaska
237,Oscarville,60.72278,-161.77,114,Alaska
238,Ouzinkie,57.92361,-152.50222,105,Alaska
239,Palmer,61.59972,-149.11278,6152,Alaska
240,Paxson,63.08972,-145.61306,0,Alaska
241,Pedro Bay,59.78722,-154.10611,18,Alaska
242,Pelican,57.96083,-136.2275,94,Alaska
243,Perryville,55.91398,-159.16328,74,Alaska
244,Petersburg,56.81127,-132.95124,3259,Alaska
245,Petersville,62.49639,-150.76556,0,Alaska
246,Pilot Point,57.56417,-157.57917,63,Alaska
247,Pilot Station,61.93889,-162.875,619,Alaska
248,Pitkas Point,62.03278,-163.28778,185,Alaska
249,Platinum,59.01306,-161.81639,55,Alaska
250,Pleasant Valley,64.88139,-146.86861,754,Alaska
251,Point Baker,56.35278,-133.62111,0,Alaska
252,Point Hope,68.34861,-166.73472,829,Alaska
253,Point Lay,69.74386,-163.00844,229,Alaska
254,Point MacKenzie,61.35972,-149.97833,1364,Alaska
255,Point Possession,60.92308,-150.68884,0,Alaska
256,Pope-Vannoy Landing,59.5706,-154.44724,0,Alaska
257,Portage Creek,58.90611,-157.7175,3,Alaska
258,Port Alexander,56.24972,-134.64444,74,Alaska
259,Port Alsworth,60.2025,-154.31278,116,Alaska
260,Port Clarence,65.26222,-166.84583,46,Alaska
261,Port Graham,59.35139,-151.82972,150,Alaska
262,Port Heiden,56.93256,-158.62497,97,Alaska
263,Port Lions,57.8675,-152.88222,168,Alaska
264,Port Protection,56.31722,-133.59806,11,Alaska
265,Primrose,60.34162,-149.29645,99,Alaska
266,Prudhoe Bay,70.25528,-148.33722,1500,Alaska
267,Quinhagak,59.74889,-161.91583,770,Alaska
268,Rampart,65.505,-150.17,67,Alaska
269,Red Devil,61.76111,-157.3125,4,Alaska
270,Red Dog Mine,68.07556,-162.85611,0,Alaska
271,Ridgeway,60.53194,-151.08528,2689,Alaska
272,Ruby,64.73944,-155.48694,137,Alaska
273,Russian Mission,61.785,-161.32028,424,Alaska
274,Salamatof,60.61538,-151.31944,1165,Alaska
275,Salcha,64.5341,-146.88362,751,Alaska
276,Sand Point,55.33972,-160.49722,583,Alaska
277,Savoonga,63.69417,-170.47889,822,Alaska
278,Saxman,55.31833,-131.59583,382,Alaska
279,Scammon Bay,61.84278,-165.58167,605,Alaska
280,Selawik,66.60389,-160.00694,785,Alaska
281,Seldovia,59.43806,-151.71139,235,Alaska
282,Seldovia Village,59.47806,-151.65194,223,Alaska
283,Seward,60.10417,-149.44222,2787,Alaska
284,Shageluk,62.68222,-159.56194,100,Alaska
285,Shaktoolik,64.33389,-161.15389,210,Alaska
286,Shishmaref,66.25667,-166.07194,566,Alaska
287,Shungnak,66.88806,-157.13639,263,Alaska
288,Silver Springs,62.01931,-145.35831,134,Alaska
289,Sitka,57.05306,-135.33,8410,Alaska
290,Skagway,59.45833,-135.31389,1217,Alaska
291,Skwentna,61.99028,-151.39778,69,Alaska
292,Slana,62.70694,-143.96111,85,Alaska
293,Sleetmute,61.7025,-157.16972,81,Alaska
294,Soldotna,60.48778,-151.05833,4440,Alaska
295,South Lakes,61.58756,-149.31554,6421,Alaska
296,South Naknek,58.71556,-156.99806,56,Alaska
297,South Van Horn,64.80973,-147.78775,443,Alaska
298,Stebbins,63.52222,-162.28806,623,Alaska
299,Steele Creek,64.92561,-147.43506,7399,Alaska
300,Sterling,60.53722,-150.76472,6016,Alaska
301,Stevens Village,66.00639,-149.09083,9,Alaska
302,St. George,56.6,-169.54167,61,Alaska
303,St. Mary's,62.06278,-163.24426,604,Alaska
304,St. Michael,63.47806,-162.03917,447,Alaska
305,Stony River,61.78306,-156.58806,34,Alaska
306,St. Paul,57.12222,-170.275,397,Alaska
307,Sunrise,60.88972,-149.42111,14,Alaska
308,Susitna,61.54361,-150.5125,0,Alaska
309,Susitna North,62.14759,-149.74854,1193,Alaska
310,Sutton-Alpine,61.74144,-148.87418,1228,Alaska
311,Takotna,62.98861,-156.06417,58,Alaska
312,Talkeetna,62.32389,-150.10944,947,Alaska
313,Tanacross,63.38528,-143.34639,107,Alaska
314,Tanaina,61.62694,-149.42806,10314,Alaska
315,Tanana,65.17194,-152.07889,242,Alaska
316,Tatitlek,60.86472,-146.67861,34,Alaska
317,Tazlina,62.05887,-145.42842,445,Alaska
318,Teller,65.26361,-166.36083,244,Alaska
319,Tenakee Springs,57.78083,-135.21889,114,Alaska
320,Tetlin,63.13505,-142.52388,246,Alaska
321,Thorne Bay,55.68778,-132.52222,473,Alaska
322,Togiak,59.06194,-160.37639,807,Alaska
323,Tok,63.33667,-142.98556,1315,Alaska
324,Toksook Bay,60.53378,-165.10366,655,Alaska
325,Tolsona,62.08389,-146.07028,35,Alaska
326,Tonsina,61.65583,-145.17528,14,Alaska
327,Trapper Creek,62.31667,-150.23139,318,Alaska
328,Tuluksak,61.1025,-160.96167,278,Alaska
329,Tuntutuliak,60.34306,-162.66306,1072,Alaska
330,Tununak,60.58556,-165.25583,309,Alaska
331,Twin Hills,59.07917,-160.275,69,Alaska
332,Two Rivers,64.87222,-147.03833,419,Alaska
333,Tyonek,61.06806,-151.13694,331,Alaska
334,Ugashik,57.51306,-157.3975,3,Alaska
335,Unalakleet,63.87306,-160.78806,756,Alaska
336,Unalaska,53.87361,-166.53667,4205,Alaska
337,Upper Kalskag,61.53957,-160.3492,214,Alaska
338,UtqiagÌvik,71.25386,-156.79825,4918,Alaska
339,Valdez,61.13083,-146.34833,3901,Alaska
340,Venetie,67.01389,-146.41861,109,Alaska
341,Wainwright,70.63694,-160.03833,628,Alaska
342,Wales,65.60917,-168.0875,162,Alaska
343,Wasilla,61.58139,-149.43944,9457,Alaska
344,Whale Pass,56.11528,-133.12083,87,Alaska
345,White Mountain,64.68139,-163.40556,181,Alaska
346,Whitestone,64.15277,-145.90641,31,Alaska
347,Whitestone Logging Camp,58.07111,-135.42972,0,Alaska
348,Whittier,60.77306,-148.68389,269,Alaska
349,Willow,61.74722,-150.0375,1965,Alaska
350,Willow Creek,61.81972,-145.21222,158,Alaska
351,Wiseman,67.41,-150.1075,13,Alaska
352,Womens Bay,57.68222,-152.66861,978,Alaska
353,Wrangell,56.47083,-132.37667,2100,Alaska
354,Yakutat,59.54694,-139.72722,562,Alaska
355,Abanda,33.10095,-85.52968,231,Alabama
356,Abbeville,31.57184,-85.25049,2361,Alabama
357,Adamsville,33.60094,-86.95611,4292,Alabama
358,Addison,34.20232,-87.1814,666,Alabama
359,Akron,32.87652,-87.74251,226,Alabama
360,Alabaster,33.24428,-86.81638,33741,Alabama
361,Albertville,34.26759,-86.20887,22544,Alabama
362,Alexander City,32.94401,-85.95385,14701,Alabama
363,Alexandria,33.77399,-85.88552,4092,Alabama
364,Aliceville,33.12957,-88.15142,2121,Alabama
365,Allgood,33.91204,-86.50943,544,Alabama
366,Altoona,34.04001,-86.30518,942,Alabama
367,Andalusia,31.3085,-86.48329,8824,Alabama
368,Anderson,34.92842,-87.26641,254,Alabama
369,Anniston,33.65983,-85.83163,21343,Alabama
370,Arab,34.33239,-86.50117,8501,Alabama
371,Ardmore,34.99203,-86.84695,1370,Alabama
372,Argo,33.69102,-86.50528,4379,Alabama
373,Ariton,31.60017,-85.71883,657,Alabama
374,Arley,34.07899,-87.21223,330,Alabama
375,Ashford,31.18296,-85.23632,2254,Alabama
376,Ashland,33.27373,-85.83607,1974,Alabama
377,Ashville,33.83704,-86.25442,2378,Alabama
378,Athens,34.80287,-86.97167,27095,Alabama
379,Atmore,31.02379,-87.49387,8353,Alabama
380,Attalla,34.02176,-86.08859,5831,Alabama
381,Auburn,32.60986,-85.48078,78887,Alabama
382,Autaugaville,32.43402,-86.6547,792,Alabama
383,Avon,31.18934,-85.28604,467,Alabama
384,Axis,30.92991,-88.02722,92,Alabama
385,Babbie,31.27961,-86.32551,629,Alabama
386,Baileyton,34.26232,-86.61277,663,Alabama
387,Bakerhill,31.78127,-85.30216,208,Alabama
388,Ballplay,34.05871,-85.80802,1391,Alabama
389,Banks,31.81516,-85.843,154,Alabama
390,Bay Minette,30.88296,-87.77305,8222,Alabama
391,Bayou La Batre,30.40352,-88.24852,2180,Alabama
392,Bear Creek,34.27482,-87.70058,1041,Alabama
393,Beatrice,31.73349,-87.20471,204,Alabama
394,Beaverton,33.93122,-88.02031,184,Alabama
395,Belgreen,34.47482,-87.86642,42,Alabama
396,Belk,33.64761,-87.93141,184,Alabama
397,Bellamy,32.44903,-88.13363,126,Alabama
398,Belle Fontaine,30.49353,-88.10361,739,Alabama
399,Benton,32.30681,-86.81776,39,Alabama
400,Berlin,34.18149,-86.74222,501,Alabama
401,Berry,33.65983,-87.60001,1201,Alabama
402,Bessemer,33.40178,-86.95444,25613,Alabama
403,Billingsley,32.65958,-86.71776,121,Alabama
404,Birmingham,33.52717,-86.79704,197823,Alabama
405,Black,31.00935,-85.74438,226,Alabama
406,Blountsville,34.08149,-86.5911,1822,Alabama
407,Blue Ridge,32.49264,-86.19052,1442,Alabama
408,Blue Springs,31.66378,-85.50661,82,Alabama
409,Boaz,34.19902,-86.15515,10181,Alabama
410,Boligee,32.75597,-88.02891,292,Alabama
411,Bon Air,33.26372,-86.33553,169,Alabama
412,Bon Secour,30.31548,-87.72943,2500,Alabama
413,Boykin,32.07792,-87.28138,330,Alabama
414,Brantley,31.58238,-86.25718,808,Alabama
415,Brantleyville,33.21595,-86.87499,871,Alabama
416,Brent,32.93735,-87.16472,2837,Alabama
417,Brewton,31.10518,-87.07219,5236,Alabama
418,Bridgeport,34.94758,-85.71442,2250,Alabama
419,Brighton,33.43428,-86.94721,2295,Alabama
420,Brilliant,34.02538,-87.75836,831,Alabama
421,Bristow Cove,34.10922,-86.24099,485,Alabama
422,Brook Highland,33.43566,-86.67388,7754,Alabama
423,Brookside,33.63788,-86.91666,1229,Alabama
424,Brookwood,33.25567,-87.32083,2475,Alabama
425,Broomtown,34.36065,-85.52163,228,Alabama
426,Brundidge,31.72016,-85.81606,2047,Alabama
427,Bucks,31.01046,-88.02417,13,Alabama
428,Butler,32.08959,-88.22197,1837,Alabama
429,Calera,33.12232,-86.74564,17381,Alabama
430,Calvert,31.1499,-88.02155,70,Alabama
431,Camden,31.99098,-87.29055,1879,Alabama
432,Camp Hill,32.80041,-85.65357,991,Alabama
433,Carbon Hill,33.89177,-87.52612,1739,Alabama
434,Cardiff,33.64566,-86.93361,53,Alabama
435,Carlisle-Rockledge,34.11445,-86.12407,2472,Alabama
436,Carlton,31.34322,-87.84555,54,Alabama
437,Carolina,31.24073,-86.52774,287,Alabama
438,Carrollton,33.26179,-88.09503,1004,Alabama
439,Castleberry,31.29906,-87.02247,476,Alabama
440,Catherine,32.18459,-87.46944,0,Alabama
441,Cedar Bluff,34.22009,-85.60774,1856,Alabama
442,Center Point,33.64566,-86.6836,16122,Alabama
443,Centre,34.15204,-85.67885,3618,Alabama
444,Centreville,32.94457,-87.13861,2797,Alabama
445,Chatom,31.46517,-88.25446,1089,Alabama
446,Chelsea,33.34011,-86.63026,15691,Alabama
447,Cherokee,34.75703,-87.97281,967,Alabama
448,Chickasaw,30.7638,-88.07472,6387,Alabama
449,Childersburg,33.27817,-86.35498,4696,Alabama
450,Choccolocco,33.65927,-85.70357,2843,Alabama
451,Chunchula,30.92185,-88.20056,241,Alabama
452,Citronelle,31.09073,-88.22806,3926,Alabama
453,Clanton,32.83874,-86.62943,8784,Alabama
454,Clay,33.69658,-86.60818,10301,Alabama
455,Clayhatchee,31.23573,-85.72271,472,Alabama
456,Clayton,31.87822,-85.44966,2243,Alabama
457,Cleveland,33.99093,-86.57749,1246,Alabama
458,Clio,31.70878,-85.6105,1211,Alabama
459,Coaling,33.15901,-87.34083,2016,Alabama
460,Coats Bend,34.07327,-85.8746,1119,Alabama
461,Coffee Springs,31.16462,-85.90938,207,Alabama
462,Coffeeville,31.75794,-88.08973,259,Alabama
463,Coker,33.24595,-87.68779,892,Alabama
464,Collinsville,34.26722,-85.86861,2052,Alabama
465,Colony,33.94139,-86.902,269,Alabama
466,Columbia,31.29268,-85.1116,696,Alabama
467,Columbiana,33.17817,-86.60721,4671,Alabama
468,Concord,33.46761,-87.03111,1641,Alabama
469,Coosada,32.49791,-86.33136,1235,Alabama
470,Cordova,33.75983,-87.18333,1695,Alabama
471,Cottondale,33.18956,-87.45167,3793,Alabama
472,Cottonwood,31.04879,-85.30493,1051,Alabama
473,County Line,33.8189,-86.71471,307,Alabama
474,Courtland,34.66898,-87.30946,582,Alabama
475,Cowarts,31.20018,-85.30465,1962,Alabama
476,Creola,30.89185,-88.03972,1937,Alabama
477,Crossville,34.28759,-85.99414,1830,Alabama
478,Cuba,32.4282,-88.37642,297,Alabama
479,Cullman,34.17482,-86.84361,18843,Alabama
480,Cullomburg,31.71306,-88.29177,263,Alabama
481,Cusseta,32.78485,-85.30578,150,Alabama
482,Dadeville,32.83124,-85.76357,3045,Alabama
483,Daleville,31.31017,-85.71299,4876,Alabama
484,Daphne,30.60353,-87.9036,28739,Alabama
485,Dauphin Island,30.25548,-88.10972,1811,Alabama
486,Daviston,33.0529,-85.63968,176,Alabama
487,Dayton,32.35097,-87.64195,27,Alabama
488,Deatsville,32.60819,-86.39581,1699,Alabama
489,Decatur,34.573,-86.9899,57605,Alabama
490,Deer Park,31.21684,-88.31723,63,Alabama
491,Delta,33.44011,-85.69052,158,Alabama
492,Demopolis,32.51764,-87.8364,7001,Alabama
493,Detroit,34.02816,-88.17004,227,Alabama
494,Dodge City,34.04066,-86.88583,552,Alabama
495,Dora,33.72872,-87.09028,2275,Alabama
496,Dothan,31.2337,-85.40682,71033,Alabama
497,Double Springs,34.14649,-87.40224,1117,Alabama
498,Douglas,34.17371,-86.32359,762,Alabama
499,Dozier,31.49211,-86.36496,286,Alabama
500,Dunnavant,33.49517,-86.54025,1184,Alabama
501,Dutton,34.61092,-85.91692,328,Alabama
502,Eagle Point,33.39299,-86.67582,2794,Alabama
503,East Brewton,31.09323,-87.06275,2284,Alabama
504,East Point,34.18315,-86.79361,351,Alabama
505,Eclectic,32.63541,-86.03441,1202,Alabama
506,Edgewater,33.52677,-86.95777,836,Alabama
507,Edwardsville,33.70733,-85.50912,205,Alabama
508,Egypt,34.07371,-86.15581,1107,Alabama
509,Elba,31.41461,-86.06772,3430,Alabama
510,Elberta,30.41436,-87.59776,2009,Alabama
511,Eldridge,33.92288,-87.61724,137,Alabama
512,Elkmont,34.92897,-86.9739,424,Alabama
513,Elmore,32.53874,-86.31497,1335,Alabama
514,Emelle,32.7293,-88.31448,32,Alabama
515,Emerald Mountain,32.44769,-86.09438,3456,Alabama
516,Enterprise,31.3269,-85.84402,29373,Alabama
517,Epes,32.69041,-88.12613,267,Alabama
518,Equality,32.76207,-86.10191,67,Alabama
519,Ethelsville,33.41567,-88.2167,49,Alabama
520,Eufaula,31.89127,-85.14549,12742,Alabama
521,Eunola,31.03139,-85.83397,137,Alabama
522,Eutaw,32.84068,-87.88751,2876,Alabama
523,Eva,34.33232,-86.75889,586,Alabama
524,Evergreen,31.4335,-86.95692,3432,Alabama
525,Excel,31.42794,-87.34137,547,Alabama
526,Fairfield,33.4748,-86.91941,9831,Alabama
527,Fairford,31.16823,-88.06417,171,Alabama
528,Fairhope,30.52297,-87.90333,23285,Alabama
529,Fairview,34.25537,-86.68805,527,Alabama
