,name,lat,lon,population,state
392,Kailua,21.392,-157.7396,115264,Hawaii
393,Meridian,43.6116,-116.3977,115227,Idaho
394,Ponce,18.0127,-66.6212,114901,Puerto Rico
395,Carlsbad,33.1246,-117.2834,114858,California
396,Lowell,42.6389,-71.3217,114804,Massachusetts
397,North Charleston,32.9067,-80.0722,114542,South Carolina
398,Downey,33.9379,-118.1311,114293,California
399,Gresham,45.5021,-122.4413,114164,Oregon
400,Elgin,42.0383,-88.324,114156,Illinois
401,Broken Arrow,36.038,-95.7806,112751,Oklahoma
402,Waterloo,42.4918,-92.3522,112333,Iowa
403,Costa Mesa,33.6667,-117.9135,112148,California
404,Leominster,42.5209,-71.7717,111856,Massachusetts
405,Longview,32.5193,-94.7622,111855,Texas
406,League City,29.4874,-95.1087,111847,Texas
408,Bend,44.0563,-121.3095,111774,Oregon
409,Miami Gardens,25.9433,-80.2426,111706,Florida
410,Pompano Beach,26.2428,-80.1312,111423,Florida
411,Sioux City,42.4959,-96.3901,111361,Iowa
412,Murrieta,33.5719,-117.1909,111096,California
413,Gilroy,37.0046,-121.5854,110720,California
414,San Buenaventura,34.2741,-119.2314,110572,California
415,Everett,47.9525,-122.1669,110438,Washington
416,Sugar Land,29.5935,-95.6358,110272,Texas
417,El Monte,34.0739,-118.0291,110144,California
418,Lewisville,33.0454,-96.9815,110077,Texas
419,Chico,39.7578,-121.8161,110001,California
420,Eau Claire,44.8197,-91.4948,109491,Wisconsin
421,West Covina,34.0555,-117.9113,109396,California
422,Temecula,33.4928,-117.1315,109376,California
423,Idaho Falls,43.4871,-112.0362,108544,Idaho
425,Inglewood,33.9566,-118.3444,108206,California
426,Dearborn,42.3127,-83.213,107985,Michigan
427,Centennial,39.5926,-104.8673,107972,Colorado
428,Burbank,34.1879,-118.3235,107364,California
429,Sparks,39.5736,-119.7161,106900,Nevada
430,Sandy Springs,33.9366,-84.3703,106605,Georgia
431,El Cajon,32.8017,-116.9604,106043,California
432,Hillsboro,45.5273,-122.936,105909,Oregon
433,South Fulton,33.6273,-84.58,105551,Georgia
434,Auburn,32.6087,-85.4903,105386,Alabama
435,Renton,47.4784,-122.1918,105313,Washington
436,Holland,42.7677,-86.0984,105134,Michigan
437,San Mateo,37.5522,-122.3121,105087,California
439,Daly City,37.6862,-122.4685,104914,California
440,Davie,26.0789,-80.287,104782,Florida
