,name,lat,lon,population,state
0,Fontana,34.0498,-117.4706,38868,CA
1,Ludlow,34.7211,-116.16,0,CA
2,Forest Falls,34.0937,-116.9362,1185,CA
3,Hesperia,34.4264,-117.3009,1185,CA
4,Green Valley Lake,34.2348,-117.066,203,CA
5,Helendale,34.7499,-117.3367,6508,CA
6,Hesperia,34.4239,-117.4075,23003,CA
7,Hesperia,34.4222,-117.3025,80808,CA
8,Highland,34.1283,-117.2087,61751,CA
9,Hinkley,34.9279,-117.1809,843,CA
10,Loma Linda,34.0483,-117.2612,843,CA
11,Lake Arrowhead,34.2606,-117.2016,5729,CA
12,Loma Linda,34.0528,-117.2513,21679,CA
13,Lucerne Valley,34.447,-116.9189,6065,CA
14,Loma Linda,34.0483,-117.2612,6065,CA
15,Lytle Creek,34.2558,-117.5186,782,CA
16,Mentone,34.0774,-117.1126,9056,CA
17,Needles,34.7824,-114.5871,5407,CA
18,Nipton,35.4667,-115.2722,0,CA
19,Newberry Springs,34.885,-116.7464,2792,CA
20,Mountain Pass,35.4703,-115.545,2792,CA
21,Oro Grande,34.6178,-117.3327,1100,CA
22,Patton,34.1358,-117.2239,1100,CA
23,Phelan,34.4449,-117.5196,17882,CA
24,Pinon Hills,34.4429,-117.6403,6282,CA
25,Redlands,34.0397,-117.1804,33264,CA
26,Redlands,34.065,-117.1672,43633,CA
27,Redlands,34.0556,-117.1825,43633,CA
28,Rialto,34.1132,-117.3771,87027,CA
29,Rialto,34.1561,-117.4042,19556,CA
30,Rimforest,34.2297,-117.225,263,CA
31,Running Springs,34.2102,-117.1109,4709,CA
32,Skyforest,34.2353,-117.1792,202,CA
33,Sugarloaf,34.2372,-116.8277,2140,CA
34,Twin Peaks,34.2379,-117.2348,2479,CA
35,Victorville,34.4802,-117.4082,58204,CA
36,Victorville,34.5361,-117.2912,58204,CA
37,Victorville,34.5563,-117.3528,35365,CA
38,Victorville,34.5016,-117.2944,42741,CA
39,Wrightwood,34.3628,-117.6249,4571,CA
40,Yermo,34.905,-116.8203,2098,CA
41,Yucaipa,34.0282,-117.0489,54163,CA
42,San Bernardino,34.1105,-117.2898,1929,CA
43,San Bernardino,34.1083,-117.2898,1929,CA
44,San Bernardino,34.1083,-117.2898,1929,CA
45,San Bernardino,34.1426,-117.2606,61216,CA
46,San Bernardino,34.1446,-117.3013,30511,CA
47,San Bernardino,34.1083,-117.2898,30511,CA
48,San Bernardino,34.2166,-117.3908,69222,CA
49,San Bernardino,34.0831,-117.2711,14434,CA
50,San Bernardino,34.1069,-117.2975,45641,CA
51,San Bernardino,34.1214,-117.3172,26563,CA
52,San Bernardino,34.1083,-117.2898,26563,CA
53,San Bernardino,34.1083,-117.2898,26563,CA
54,San Bernardino,34.1083,-117.2898,26563,CA
55,San Bernardino,34.1083,-117.2898,26563,CA
56,San Bernardino,34.1083,-117.2898,26563,CA
57,Red Mountain,35.3479,-117.6214,40,CA
58,Trona,35.7481,-117.3808,1723,CA
59,Trona,35.7627,-117.3728,77,CA
60,Alpine,32.8282,-116.7543,18558,CA
61,Bonita,32.6671,-117.0221,20138,CA
62,Alpine,32.8351,-116.7664,20138,CA
63,Boulevard,32.6719,-116.32,1478,CA
64,Campo,32.6605,-116.4905,4351,CA
65,Bonita,32.6578,-117.03,4351,CA
66,Chula Vista,32.6401,-117.0842,4351,CA
67,Chula Vista,32.6371,-117.0676,74297,CA
68,Chula Vista,32.6084,-117.0565,85365,CA
69,Chula Vista,32.6401,-117.0842,85365,CA
70,Chula Vista,32.6513,-116.9852,53072,CA
71,Chula Vista,32.6587,-116.9652,16357,CA
72,Chula Vista,32.6315,-116.9408,31740,CA
73,Descanso,32.873,-116.6027,1962,CA
74,Dulzura,32.6152,-116.7285,920,CA
75,Chula Vista,32.6401,-117.0842,920,CA
76,Guatay,32.8497,-116.5583,496,CA
77,Imperial Beach,32.5783,-117.1148,26701,CA
78,Imperial Beach,32.5839,-117.1131,26701,CA
79,Jacumba,32.6249,-116.1952,267,CA
80,Jamul,32.7163,-116.8323,8332,CA
81,La Mesa,32.7604,-117.0115,32384,CA
82,La Mesa,32.7835,-117.0189,40205,CA
83,La Mesa,32.7678,-117.0231,40205,CA
84,La Mesa,32.7678,-117.0231,40205,CA
85,Lemon Grove,32.7332,-117.0326,27193,CA
86,Lemon Grove,32.7426,-117.0314,27193,CA
87,Mount Laguna,32.8676,-116.4206,15,CA
88,National City,32.6749,-117.0897,62639,CA
89,National City,32.6781,-117.0992,62639,CA
90,Pine Valley,32.835,-116.5127,2378,CA
91,Potrero,32.6205,-116.6037,999,CA
92,Spring Valley,32.7448,-116.9989,999,CA
93,Spring Valley,32.724,-116.9976,63393,CA
94,Spring Valley,32.7329,-116.9596,10518,CA
95,Spring Valley,32.7448,-116.9989,10518,CA
96,Tecate,32.5889,-116.6192,636,CA
97,Tecate,32.5773,-116.6275,636,CA
98,Bonsall,33.294,-117.1897,5042,CA
99,Borrego Springs,33.2386,-116.3514,2414,CA
100,Cardiff By The Sea,33.023,-117.2745,11234,CA
101,Carlsbad,33.1602,-117.325,27330,CA
102,Carlsbad,33.0954,-117.2619,45827,CA
103,Carlsbad,33.1639,-117.3009,16131,CA
104,Carlsbad,33.1072,-117.2943,24382,CA
105,Carlsbad,33.1581,-117.3506,24382,CA
106,Del Mar,32.9665,-117.249,13863,CA
107,Carlsbad,33.1581,-117.3506,13863,CA
108,El Cajon,32.7777,-116.9191,42400,CA
109,El Cajon,32.7928,-116.9665,58742,CA
110,El Cajon,32.8178,-116.9223,71321,CA
111,El Cajon,32.7948,-116.9625,71321,CA
112,Encinitas,33.036,-117.292,71321,CA
113,Encinitas,33.0535,-117.2689,51496,CA
114,Escondido,33.1101,-117.07,53772,CA
115,Escondido,33.1605,-117.0978,49921,CA
116,Escondido,33.1388,-117.052,56811,CA
117,Fallbrook,33.369,-117.229,49380,CA
118,Escondido,33.0895,-117.1128,19149,CA
119,Escondido,33.1192,-117.0864,19149,CA
